Country,Code
Australia,AUS
Austria,AUT
Belarus,BLR
Belgium,BEL
Bulgaria,BUL
Canada,CAN
China,CHN
Croatia,CRO
Czech Republic,CZE
Czechoslovakia,TCH
Denmark,DEN
East Germany,GDR
Estonia,EST
Finland,FIN
France,FRA
Germany,GER
Great Britain,GBR
Hungary,HUN
Italy,ITA
Japan,JPN
Kazakhstan,KAZ
Latvia,LAT
Liechtenstein,LIE
Luxembourg,LUX
Mixed team,ZZX
Netherlands,NED
New Zealand,NZL
North Korea,PRK
Norway,NOR
OAR,OAR
Poland,POL
Republic of Korea,KOR
Romania,ROU
Russia,RUS
Slovakia,SVK
Slovenia,SLO
South Korea,KOR
Soviet Union,URS
Spain,ESP
Sweden,SWE
Switzerland,SUI
Ukraine,UKR
Unified Team,EUN
United States,USA
Uzbekistan,UZB
West Germany,FRG
Yugoslavia,YUG
